hours_since_cooking,initial_hours_at_room_temp,storage_location,cooling_method,observed_smell,observed_appearance,Spoilage_Index
92,3,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,1
9,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
11,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
3,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
81,81,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
89,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
13,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
23,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
23,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
10,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
82,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
12,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,4,Room Temperature,Not Applicable,Normal,Dull/Dry,2
75,75,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
92,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
6,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
34,34,Room Temperature,Not Applicable,Normal,Dull/Dry,2
80,80,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
22,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
26,26,Room Temperature,Not Applicable,Normal,Dull/Dry,2
69,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
37,37,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
17,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
70,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
10,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
14,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
27,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
76,76,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
35,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
2,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
67,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
49,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
55,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
56,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
24,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
49,49,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
90,90,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
63,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
89,89,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
70,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
45,5,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
26,26,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
86,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
49,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
2,2,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
61,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
44,44,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
65,65,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
50,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
48,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
13,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
5,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
37,5,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
54,54,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
56,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
93,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
18,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
63,63,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
89,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
25,25,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
38,38,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
37,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
94,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
74,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
89,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
2,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
65,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
54,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
36,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
23,23,Room Temperature,Not Applicable,Normal,Dull/Dry,2
88,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
41,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
32,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
94,94,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
2,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
44,44,Room Temperature,Not Applicable,Normal,Dull/Dry,2
30,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
61,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
60,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
60,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
68,68,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
16,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
22,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
55,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
34,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
15,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
3,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
63,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
65,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
78,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
1,1,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
86,86,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
17,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
78,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
76,76,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
77,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
24,24,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
4,5,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
88,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
63,63,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
86,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
66,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
61,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
48,48,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
66,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
39,39,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
50,50,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
26,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
81,81,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
78,5,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
23,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
38,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
41,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
34,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
20,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
20,20,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
79,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
91,5,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
55,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,17,Room Temperature,Not Applicable,Normal,Dull/Dry,2
73,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
20,20,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
6,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
75,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
80,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
34,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
45,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
90,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
89,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
51,51,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
93,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
44,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
71,5,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
49,49,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
49,49,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
89,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
96,96,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
70,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
74,74,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
9,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
31,31,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
16,16,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
66,66,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
26,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
35,5,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
60,60,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
68,68,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
83,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,14,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
79,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
31,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
70,70,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
85,85,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
45,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
35,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
89,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
15,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
8,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,70,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
85,85,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
77,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
71,71,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
26,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
35,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
3,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
70,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
83,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
75,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
50,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
11,11,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
73,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
41,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
67,67,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
24,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
90,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,35,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
29,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
62,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
37,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
52,52,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
12,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,4,Room Temperature,Not Applicable,Normal,Dull/Dry,2
72,72,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
35,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
64,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
1,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
66,66,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
83,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
35,35,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
77,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
43,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
67,67,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
49,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
24,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
3,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
37,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
56,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
80,80,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
69,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
47,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
5,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
3,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
47,47,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
54,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
26,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
44,44,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
89,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
24,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
37,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
46,46,Room Temperature,Not Applicable,Normal,Dull/Dry,2
24,24,Room Temperature,Not Applicable,Normal,Dull/Dry,2
94,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
11,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
3,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
11,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
78,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
74,74,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
45,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
62,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
96,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
74,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
74,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
14,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
15,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
91,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
76,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
16,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
38,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,14,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
40,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
23,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
37,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
38,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
40,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,52,Room Temperature,Not Applicable,Normal,Dull/Dry,2
63,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
74,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
1,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
38,38,Room Temperature,Not Applicable,Normal,Dull/Dry,2
44,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
86,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
82,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
22,22,Room Temperature,Not Applicable,Normal,Dull/Dry,2
38,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
22,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
23,23,Room Temperature,Not Applicable,Normal,Dull/Dry,2
50,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
85,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
18,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
89,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
49,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
12,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
19,19,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
51,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
84,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
3,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
32,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
93,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
42,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
56,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
86,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
55,55,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
17,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
50,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
92,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
82,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
58,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
49,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
64,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
41,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
39,5,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
86,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
8,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
23,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
34,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
80,80,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
22,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
70,70,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
17,17,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
14,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
54,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
46,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
54,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
39,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
27,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
3,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
11,11,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
94,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
21,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
83,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
86,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
6,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
73,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
32,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
87,87,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
68,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
79,79,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
86,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
96,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
77,77,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
23,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
62,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
73,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
56,56,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
64,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
54,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
72,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
28,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
25,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
46,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
60,60,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
6,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
24,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
11,11,Room Temperature,Not Applicable,Normal,Dull/Dry,2
26,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
68,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
62,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
3,3,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
23,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
7,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
93,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
63,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
58,58,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
78,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
79,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
50,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
61,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
40,40,Room Temperature,Not Applicable,Normal,Dull/Dry,2
83,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
41,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
1,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
18,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
11,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
10,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
39,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
41,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
59,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
88,88,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
83,83,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
17,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
41,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
43,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
81,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
15,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
84,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
75,75,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
12,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
88,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
82,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
35,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
8,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
